depression,State
9208,Alaska
31052,Utah
57158,Indiana
4864,Wyoming
15052,Idaho
47726,Colorado
12211,Hawaii
8817,Delaware
21631,Arkansas
12021,West Virginia
36514,Alabama
54261,Arizona
32300,Kentucky
28283,Oklahoma
21585,Kansas
24077,Iowa
31267,Oregon
7937,Montana
57244,Washington
48547,Tennessee
9968,Maine
82304,Ohio
20857,Nevada
5496,North Dakota
6325,South Dakota
14807,Nebraska
68976,Michigan
43772,Minnesota
18350,Mississippi
4694,Vermont
41319,Missouri
60932,Virginia
72839,Georgia
9375,New Hampshire
194741,Texas
41153,Wisconsin
270006,California
5898,District of Columbia
84349,Illinois
24889,Connecticut
31903,South Carolina
12358,New Mexico
83039,Pennsylvania
40577,Maryland
66304,North Carolina
122742,New York
125934,Florida
44778,Massachusetts
55319,New Jersey
23126,Louisiana
6045,Rhode Island
